Número de protocolo,Título,Autores (nome — curso/universidade),Categoria,Curso,Modalidade
20251171,Adesão ao tratamento de bruxismo em atenção básica: estudo retrospectiva,Bruno Fernandes — Odontologia/UFC; Eduardo Dias — Odontologia/UFPA; Wagner Castro — Enfermagem/UFC,Especialização,Odontologia,EAD
20251129,Avaliação de cuidados paliativos em pacientes do SUS: estudo prospectiva,Gabriel Vieira — Medicina/UFSC; Leonardo Farias — Medicina/UFRGS; Sofia Oliveira — Medicina/UFRGS,TCC,Medicina,Presencial
20251077,Impacto de dor aguda na prática clínica hospitalar: análise transversal,Beatriz Moura — Medicina/UFMG; Yasmin Farias — Medicina/UFAM; Luís Freitas — Medicina/UFBA; Natalia Borges — Medicina/UFPA; Mariana Melo — Medicina/USP,TCC,Medicina,Presencial
20251159,Dor crônica e equilíbrio postural: estudo retrospectiva em ambulatório,Caio Moura — Fisioterapia/UFAL; Otávio Farias — Fisioterapia/UFPR; Fernanda Teixeira — Fisioterapia/UFSC; Fernanda Martins — Fisioterapia/UNICAMP,Iniciação científica,Fisioterapia,Presencial
20251168,Cuidado de enfermagem em segurança medicamentosa: estudo transversal em unidade básica,Rafael Monteiro — Enfermagem/UFRJ; Priscila Borges — Farmácia/UFPA; Rodrigo Freitas — Enfermagem/USP,Trabalho científico,Enfermagem,Presencial
20251046,Cuidado de enfermagem em higienização das mãos: estudo retrospectiva em unidade básica,Vitor Duarte — Enfermagem/UNICAMP; Helena Duarte — Enfermagem/UFAL; Vitor Moura — Odontologia/UFAM,TCC,Enfermagem,EAD
20251131,Avaliação de materiais para hipersensibilidade dentinária: estudo laboratorial,Renata Campos — Odontologia/UNICAMP; Tiago Tavares — Odontologia/UNICAMP; Tiago Campos — Odontologia/UFPE; Rafael Dias — Odontologia/UFRJ; Igor Almeida — Odontologia/UFBA,Mestrado/Doutorado,Odontologia,EAD
20251031,Avaliação de materiais para periodontite: estudo laboratorial,Júlia Castro — Odontologia/UFAM; Daniela Rodrigues — Fisioterapia/USP; Bianca Pinheiro — Odontologia/UNESP; Yasmin Pinheiro — Fisioterapia/UNICAMP,Trabalho científico,Odontologia,Presencial
20251004,Impacto de hipertensão na prática clínica hospitalar: análise prospectiva,Rodrigo Santos — Medicina/UFPA; Larissa Duarte — Medicina/UFPA; Caio Santos — Medicina/UFAM; Igor Duarte — Medicina/UFC,Iniciação científica,Medicina,Presencial
20251160,Educação em saúde sobre aleitamento materno: intervenção de enfermagem,Luís Castro — Fisioterapia/UFC; Júlia Rocha — Odontologia/USP; Wagner Souza — Nutrição/UNICAMP; Eduardo Oliveira — Farmácia/UFRGS,TCC,Enfermagem,EAD
20251016,Cuidado de enfermagem em segurança medicamentosa: estudo retrospectiva em unidade básica,Renata Gomes — Enfermagem/UFRGS; Priscila Rocha — Psicologia/UFMG; Larissa Melo — Enfermagem/USP,Iniciação científica,Enfermagem,Presencial
20251043,Educação nutricional sobre consumo de fibras no contexto escolar: intervenção,Natalia Pereira — Nutrição/UNICAMP; Gabriel Melo — Enfermagem/UNIFESP; Gustavo Vieira — Nutrição/UFRJ; Tatiane Castro — Nutrição/UFAM; Rodrigo Carvalho — Nutrição/UNESP,Iniciação científica,Nutrição,Presencial
20251127,Consumo de consumo de fibras e indicadores antropométricos: análise retrospectiva,Mariana Tavares — Biomedicina/UFRN; Priscila Vieira — Biomedicina/UFSC; Rafael Lima — Nutrição/UFAL; Rafael Duarte — Nutrição/UFPA,PIBID,Nutrição,Presencial
20251187,Educação nutricional sobre ultraprocessados no contexto escolar: intervenção,Mariana Moreira — Nutrição/UFC; Beatriz Dias — Biomedicina/USP; Vitor Fernandes — Nutrição/UFAM; Rodrigo Martins — Nutrição/UFRN,Iniciação científica,Nutrição,Presencial
20251163,Educação nutricional sobre ultraprocessados no contexto escolar: intervenção,Paula Freitas — Nutrição/UFPE; Caio Cardoso — Nutrição/UNESP; Leonardo Castro — Nutrição/UFAL; Tiago Melo — Nutrição/UFMG,Trabalho científico,Nutrição,Presencial
20251048,Protocolo de hipertensão no pronto atendimento: relato de experiência,Wagner Araújo — Medicina/UFRN; Tiago Tavares — Medicina/UFMG; Natalia Teixeira — Medicina/UFPR,TCC,Medicina,EAD
20251111,Educação em saúde sobre feridas crônicas: intervenção de enfermagem,Tiago Oliveira — Biomedicina/UFBA; Rodrigo Carvalho — Biomedicina/UFRN; Renata Campos — Enfermagem/UNIFESP,Trabalho científico,Enfermagem,Presencial
20251006,Educação em saúde sobre higienização das mãos: intervenção de enfermagem,Isabela Moreira — Enfermagem/UNIFESP; João Almeida — Biomedicina/UFRJ; Rafael Gomes — Enfermagem/UFAM,TCC,Enfermagem,Presencial
20251195,Treinamento funcional e dor lombar em idosos: estudo longitudinal,Matheus Campos — Fisioterapia/UFAM; Yasmin Souza — Fisioterapia/UFMG; Otávio Rodrigues — Fisioterapia/UFRJ; Larissa Martins — Fisioterapia/UFRJ,Trabalho científico,Fisioterapia,Presencial
20251038,Expressão de marcadores de marcadores inflamatórios em cultura celular: ensaio quase-experimental,Diego Monteiro — Biomedicina/UNICAMP; Vanessa Teixeira — Odontologia/UFRJ; Paula Rocha — Farmácia/UFAM; Helena Barbosa — Biomedicina/UFC,Iniciação científica,Biomedicina,Presencial
20251123,Padrões alimentares e ultraprocessados em adultos: estudo transversal,Yasmin Teixeira — Nutrição/UFAL; Yasmin Freitas — Odontologia/UFAL; Fernanda Oliveira — Nutrição/UFC,Trabalho científico,Nutrição,Presencial
20251013,Associação entre ansiedade e bem-estar psicológico: estudo retrospectiva,Bianca Santos — Biomedicina/UNIFESP; Mariana Monteiro — Psicologia/UFAL; Tiago Araújo — Fisioterapia/UFRN; Fernanda Monteiro — Psicologia/UFSC; Luís Carvalho — Nutrição/UFAM,TCC,Psicologia,Presencial
20251037,Protocolo de dor aguda no pronto atendimento: relato de experiência,Isabela Oliveira — Medicina/UFSC; Sofia Moura — Medicina/UFPA; Tatiane Silva — Medicina/UFAL; Júlia Souza — Medicina/UNESP; Elaine Moreira — Medicina/UNIFESP,Iniciação científica,Medicina,Presencial
20251154,Uso racional de interações medicamentosas na atenção primária: estudo randomizado,Vanessa Campos — Odontologia/UFMG; Bruno Martins — Biomedicina/USP; André Borges — Farmácia/UFMG,TCC,Farmácia,EAD
20251070,Intervenção cognitivo-comportamental em ansiedade: ensaio retrospectiva,Vanessa Farias — Fisioterapia/UFRN; Renata Martins — Psicologia/UFBA; Felipe Fernandes — Psicologia/UFRJ; Tiago Borges — Psicologia/UFC,Iniciação científica,Psicologia,Presencial
20251062,Avaliação de diabetes em pacientes do SUS: estudo prospectiva,Caio Moreira — Odontologia/UFRN; Gustavo Castro — Medicina/UFPA; Priscila Moura — Farmácia/UFPA; Paula Borges — Medicina/UFRN; Felipe Pinheiro — Psicologia/UFRN,Especialização,Medicina,Presencial
20251196,Prevalência de periodontite em pacientes de clínica escola: estudo randomizado,Beatriz Carvalho — Odontologia/UFMG; Vitor Duarte — Odontologia/UFBA; Júlia Almeida — Odontologia/UFC; Beatriz Freitas — Odontologia/UFSC; Wagner Pinheiro — Odontologia/UNIFESP,Iniciação científica,Odontologia,EAD
20251033,Treinamento funcional e capacidade funcional em idosos: estudo longitudinal,Vanessa Barbosa — Fisioterapia/UFMG; Gabriel Campos — Fisioterapia/UFPE; Bruno Oliveira — Fisioterapia/UNIFESP; Vanessa Nunes — Fisioterapia/UFBA; Rafael Tavares — Fisioterapia/UFPR,Trabalho científico,Fisioterapia,EAD
20251173,Efeito de protocolo de reabilitação em dor lombar: ensaio transversal,Felipe Martins — Fisioterapia/UFBA; Paula Duarte — Fisioterapia/UFAL; Sofia Silva — Odontologia/UFPE; Wagner Costa — Fisioterapia/UNESP; Caio Melo — Fisioterapia/UFAM,Iniciação científica,Fisioterapia,Presencial
20251172,Treinamento funcional e equilíbrio postural em idosos: estudo longitudinal,Natalia Pinheiro — Enfermagem/UNICAMP; Felipe Nunes — Fisioterapia/UFPE; Bruno Freitas — Fisioterapia/UNIFESP; Diego Moreira — Biomedicina/UNICAMP,Mestrado/Doutorado,Fisioterapia,Presencial
20251061,Segurança do paciente e aleitamento materno: revisão retrospectiva,Natalia Rocha — Enfermagem/UFBA; Gabriel Oliveira — Enfermagem/UFAL; Carlos Cardoso — Enfermagem/UFPE; Luís Borges — Enfermagem/UFBA; Wagner Cardoso — Enfermagem/UFC,Iniciação científica,Enfermagem,Presencial
20251011,Efeito de protocolo de reabilitação em equilíbrio postural: ensaio quase-experimental,Beatriz Gomes — Fisioterapia/UFRJ; João Barbosa — Fisioterapia/UNESP; Fernanda Freitas — Fisioterapia/UFMG; Priscila Cardoso — Fisioterapia/UFC,Mestrado/Doutorado,Fisioterapia,Presencial
20251145,Percepções sobre estresse ocupacional em adolescentes: estudo qualitativo,Paula Monteiro — Psicologia/UFSC; Elaine Barbosa — Psicologia/UFAL; Yasmin Borges — Psicologia/UNIFESP,Mestrado/Doutorado,Psicologia,Presencial
20251161,Cuidado de enfermagem em aleitamento materno: estudo quase-experimental em unidade básica,Gabriel Martins — Psicologia/UFPA; Priscila Cardoso — Enfermagem/UFAM; Caio Almeida — Enfermagem/UFRN,Iniciação científica,Enfermagem,EAD
20251053,Atenção farmacêutica a pacientes com farmacoeconomia: estudo de coorte,Camila Rodrigues — Farmácia/UNICAMP; Camila Carvalho — Nutrição/UNESP; Daniela Freitas — Farmácia/UFMG,TCC,Farmácia,Presencial
20251126,Adesão ao tratamento de cárie dentária em atenção básica: estudo retrospectiva,Diego Santos — Odontologia/UFSC; Rafael Ribeiro — Farmácia/UFRJ; André Rodrigues — Odontologia/UNICAMP; Beatriz Almeida — Medicina/UFC; João Ribeiro — Odontologia/UFPR,TCC,Fisioterapia,EAD
20251107,Uso racional de antibióticos na atenção primária: estudo retrospectiva,Gustavo Martins — Farmácia/USP; Mariana Rocha — Farmácia/UFAM; Vitor Gomes — Odontologia/UFAL,Iniciação científica,Farmácia,Presencial
20251074,Impacto de cuidados paliativos na prática clínica hospitalar: análise randomizado,Matheus Farias — Medicina/UNIFESP; Vitor Melo — Medicina/USP; Daniela Monteiro — Fisioterapia/UFMG,Iniciação científica,Medicina,Presencial
20251114,Impacto de dor aguda na prática clínica hospitalar: análise transversal,Luís Almeida — Medicina/UFC; Elaine Moura — Medicina/UFPE; Priscila Farias — Medicina/UFMG,TCC,Medicina,Presencial
20251106,Segurança do paciente e feridas crônicas: revisão randomizado,Otávio Vieira — Enfermagem/UNICAMP; Júlia Castro — Fisioterapia/UFAM; Gabriel Moura — Enfermagem/UFC; Camila Almeida — Enfermagem/UFRN; Eduardo Lima — Enfermagem/UFAM,Extensão,Enfermagem,Presencial
20251096,Prevalência de bruxismo em pacientes de clínica escola: estudo retrospectiva,Daniela Castro — Odontologia/UFAM; Gustavo Vieira — Medicina/UFPE; Diego Melo — Odontologia/UFRGS; João Monteiro — Odontologia/UFMG; Gustavo Cardoso — Odontologia/UFC,TCC,Odontologia,Presencial
20251104,Consumo de deficiências de micronutrientes e indicadores antropométricos: análise quase-experimental,Elaine Santos — Nutrição/UFC; Bruno Araújo — Nutrição/UFPE; Beatriz Nunes — Nutrição/UFBA; Bianca Freitas — Nutrição/USP; Fernanda Tavares — Nutrição/UFAM,Trabalho científico,Nutrição,Presencial
20251146,Intervenção cognitivo-comportamental em transtorno do pânico: ensaio retrospectiva,Yasmin Moura — Enfermagem/UNIFESP; João Costa — Medicina/UFRJ; Tiago Campos — Psicologia/UFRN; Diego Campos — Psicologia/UFRGS,Trabalho científico,Psicologia,Presencial
20251044,Atenção farmacêutica a pacientes com antibióticos: estudo de coorte,Helena Teixeira — Farmácia/UFRN; Vitor Melo — Farmácia/UFPA; Diego Souza — Farmácia/UFPE; Otávio Ribeiro — Biomedicina/UFSC,Trabalho científico,Farmácia,Presencial
20251001,Cuidado de enfermagem em feridas crônicas: estudo quase-experimental em unidade básica,Leonardo Araújo — Enfermagem/UNICAMP; Tatiane Nunes — Enfermagem/UNIFESP; Leonardo Santos — Enfermagem/UFRJ; Luís Vieira — Enfermagem/UFAM; Vanessa Gomes — Enfermagem/UFSC,Mestrado/Doutorado,Medicina,Presencial
20251162,Uso racional de farmacoeconomia na atenção primária: estudo prospectiva,Leonardo Carvalho — Farmácia/UFPA; Vitor Lima — Farmácia/UFPE; Beatriz Barbosa — Farmácia/UFPR,Iniciação científica,Farmácia,Presencial
20251193,Uso racional de antibióticos na atenção primária: estudo randomizado,Natalia Nunes — Farmácia/UFBA; Rafael Carvalho — Farmácia/UFRGS; Mariana Almeida — Enfermagem/UFPR; Rodrigo Duarte — Odontologia/UFSC; Luís Almeida — Farmácia/UFRN,Iniciação científica,Farmácia,Presencial
20251017,Impacto de diabetes na prática clínica hospitalar: análise prospectiva,Daniela Nunes — Medicina/UFPE; Priscila Campos — Medicina/UNESP; Vanessa Pereira — Medicina/UFRJ; Elaine Farias — Medicina/UNIFESP; Matheus Fernandes — Medicina/UFRN,Trabalho científico,Medicina,Presencial
20251081,Avaliação de materiais para periodontite: estudo laboratorial,Gabriel Castro — Enfermagem/UFPR; Carlos Martins — Odontologia/UFPR; Camila Cardoso — Fisioterapia/UFAM; Beatriz Souza — Nutrição/UFRJ,TCC,Odontologia,Presencial
20251103,Impacto de antimicrobianos na prática clínica hospitalar: análise randomizado,Felipe Teixeira — Medicina/UFBA; Beatriz Lima — Medicina/UFBA; Gustavo Melo — Fisioterapia/UFBA; Diego Lima — Medicina/UFPA; Beatriz Ribeiro — Medicina/UFRJ,TCC,Medicina,EAD
20251039,Segurança do paciente e higienização das mãos: revisão randomizado,Bruno Cardoso — Enfermagem/UFRGS; Beatriz Moreira — Enfermagem/UFBA; João Pereira — Enfermagem/UFMG; Tatiane Tavares — Enfermagem/UFSC,Extensão,Enfermagem,Presencial
20251157,Atenção farmacêutica a pacientes com polifarmácia: estudo de coorte,João Costa — Farmácia/UFPR; Matheus Oliveira — Farmácia/UNICAMP; Matheus Teixeira — Odontologia/UNICAMP; Wagner Martins — Farmácia/UFRN,Mestrado/Doutorado,Farmácia,Presencial
20251177,Avaliação de diabetes em pacientes do SUS: estudo randomizado,Priscila Teixeira — Fisioterapia/UFPR; Natalia Ribeiro — Medicina/UFRN; Camila Carvalho — Enfermagem/UFPE; Fernanda Costa — Medicina/UFBA,Iniciação científica,Medicina,EAD
20251136,Correlação entre marcadores inflamatórios e biomarcadores inflamatórios: estudo retrospectiva,Gustavo Santos — Biomedicina/UFPA; Tatiane Cardoso — Biomedicina/UFRJ; Camila Barbosa — Biomedicina/UFMG; Beatriz Almeida — Biomedicina/UFPE,Extensão,Biomedicina,Presencial
20251079,Correlação entre expressão gênica e biomarcadores inflamatórios: estudo quase-experimental,Elaine Silva — Medicina/UFC; Otávio Almeida — Biomedicina/UFAM; Helena Teixeira — Biomedicina/UFMG; Daniela Martins — Biomedicina/UFAL,TCC,Biomedicina,EAD
20251116,Padrões alimentares e ultraprocessados em adultos: estudo quase-experimental,Wagner Santos — Nutrição/UNICAMP; João Teixeira — Nutrição/UNESP; Rafael Borges — Nutrição/UFRJ; Vitor Cardoso — Nutrição/USP; Felipe Monteiro — Nutrição/UFPA,Extensão,Nutrição,Presencial
20251020,Impacto de diabetes na prática clínica hospitalar: análise transversal,Eduardo Nunes — Medicina/UFMG; Caio Castro — Medicina/UNESP; Wagner Castro — Psicologia/UFAL; Renata Araújo — Enfermagem/UFAL,Iniciação científica,Medicina,EAD
20251015,Avaliação de diabetes em pacientes do SUS: estudo retrospectiva,Natalia Oliveira — Medicina/UFPE; Tatiane Freitas — Odontologia/UFC; Carlos Fernandes — Medicina/UNIFESP,Trabalho científico,Medicina,Presencial
20251178,Protocolo de diabetes no pronto atendimento: relato de experiência,Camila Vieira — Odontologia/UFPA; Beatriz Araújo — Medicina/UFRN; Camila Tavares — Medicina/UFRJ,Trabalho científico,Medicina,Presencial
20251147,Padronização de protocolo para resistência bacteriana no laboratório de análises clínicas,Diego Araújo — Biomedicina/UFSC; Gabriel Lima — Biomedicina/UFPE; Yasmin Campos — Biomedicina/UFAM; Larissa Campos — Biomedicina/UNIFESP,TCC,Biomedicina,Presencial
20251180,Padronização de protocolo para microbiota intestinal no laboratório de análises clínicas,Tiago Souza — Biomedicina/UFPA; Camila Farias — Psicologia/USP; João Campos — Biomedicina/UFRJ; Rafael Cardoso — Biomedicina/UNIFESP,Iniciação científica,Biomedicina,Presencial
20251066,Consumo de deficiências de micronutrientes e indicadores antropométricos: análise quase-experimental,Camila Campos — Psicologia/UNESP; Isabela Moura — Nutrição/UNICAMP; Helena Santos — Odontologia/UFPA; André Gomes — Nutrição/UFC,TCC,Nutrição,Presencial
20251085,Padronização de protocolo para resistência bacteriana no laboratório de análises clínicas,Vanessa Moreira — Biomedicina/UFBA; Eduardo Campos — Biomedicina/UFAL; Fernanda Moura — Biomedicina/UFRJ; André Teixeira — Psicologia/UFPR; Camila Farias — Biomedicina/UFRGS,Mestrado/Doutorado,Biomedicina,Presencial
20251166,Associação entre depressão e bem-estar psicológico: estudo quase-experimental,Camila Cardoso — Psicologia/UFBA; Elaine Lima — Psicologia/UFPA; Renata Tavares — Psicologia/UFAM,Iniciação científica,Psicologia,Presencial
20251047,Avaliação de materiais para cárie dentária: estudo laboratorial,Eduardo Campos — Odontologia/UNESP; Igor Araújo — Psicologia/UFAM; Tatiane Souza — Psicologia/UFPE; Larissa Costa — Odontologia/UNICAMP,Iniciação científica,Odontologia,Presencial
20251105,Correlação entre microbiota intestinal e biomarcadores inflamatórios: estudo transversal,Natalia Dias — Biomedicina/UFPE; Elaine Lima — Biomedicina/UFPR; Caio Almeida — Biomedicina/UFSC; Bianca Oliveira — Medicina/UFRJ,Extensão,Biomedicina,Presencial
20251080,Uso racional de interações medicamentosas na atenção primária: estudo retrospectiva,Júlia Santos — Farmácia/UFPE; Yasmin Monteiro — Farmácia/UFPA; Yasmin Duarte — Farmácia/UNIFESP; Larissa Campos — Farmácia/UFAL; Otávio Castro — Farmácia/UFSC,TCC,Farmácia,Presencial
20251055,Padronização de protocolo para microbiota intestinal no laboratório de análises clínicas,Igor Cardoso — Biomedicina/UFMG; Luís Martins — Biomedicina/UFC; Matheus Martins — Biomedicina/UNIFESP; Vanessa Pinheiro — Fisioterapia/UNICAMP,Iniciação científica,Biomedicina,Presencial
20251197,Expressão de marcadores de microbiota intestinal em cultura celular: ensaio randomizado,Luís Fernandes — Odontologia/UFAL; Rodrigo Melo — Biomedicina/UFRJ; Isabela Farias — Biomedicina/UNICAMP; Otávio Nunes — Biomedicina/UFPE; Rodrigo Monteiro — Biomedicina/USP,Iniciação científica,Biomedicina,Presencial
20251086,Prevalência de hipersensibilidade dentinária em pacientes de clínica escola: estudo retrospectiva,Camila Freitas — Odontologia/UFPA; Daniela Fernandes — Odontologia/UFPE; Eduardo Pinheiro — Odontologia/UFC; Elaine Gomes — Odontologia/UFMG,Especialização,Odontologia,EAD
20251119,Impacto de diabetes na prática clínica hospitalar: análise prospectiva,Camila Almeida — Medicina/UFPA; Tatiane Oliveira — Medicina/UFBA; Beatriz Monteiro — Medicina/UFBA; Diego Farias — Medicina/UFSC; Larissa Freitas — Biomedicina/UFSC,TCC,Medicina,EAD
20251110,Avaliação de materiais para hipersensibilidade dentinária: estudo laboratorial,Renata Santos — Odontologia/UFMG; Júlia Melo — Medicina/UFRN; Sofia Barbosa — Odontologia/UFPR; Vitor Pinheiro — Odontologia/UNICAMP,TCC,Odontologia,EAD
20251134,Cuidado de enfermagem em feridas crônicas: estudo retrospectiva em unidade básica,Matheus Moura — Enfermagem/UFAM; Otávio Borges — Enfermagem/UFRN; Daniela Ribeiro — Enfermagem/UFSC,Extensão,Enfermagem,Presencial
20251143,Segurança do paciente e higienização das mãos: revisão randomizado,Luís Araújo — Enfermagem/UFSC; Wagner Nunes — Enfermagem/UFC; Elaine Monteiro — Enfermagem/UNICAMP; Tiago Melo — Enfermagem/UFPE,Extensão,Enfermagem,Presencial
20251034,Adesão ao tratamento de periodontite em atenção básica: estudo quase-experimental,Renata Nunes — Odontologia/UFC; Vanessa Gomes — Odontologia/UFPA; Isabela Nunes — Psicologia/UFPE; Carlos Teixeira — Enfermagem/UNESP,Trabalho científico,Odontologia,Presencial
20251019,Impacto de diabetes na prática clínica hospitalar: análise quase-experimental,Natalia Dias — Biomedicina/UFBA; Gabriel Martins — Medicina/UNICAMP; Paula Souza — Medicina/UFSC,Trabalho científico,Medicina,Presencial
20251141,Protocolo de dor aguda no pronto atendimento: relato de experiência,Igor Silva — Psicologia/UFAM; Renata Monteiro — Medicina/UFPE; Luís Teixeira — Medicina/UFRJ; Bianca Barbosa — Medicina/UNIFESP; Mariana Borges — Psicologia/UNIFESP,PIBID,Medicina,Presencial
20251124,Educação nutricional sobre consumo de fibras no contexto escolar: intervenção,Vanessa Oliveira — Nutrição/UFMG; Beatriz Teixeira — Nutrição/UFRN; Igor Farias — Nutrição/UFRGS; Helena Castro — Nutrição/UFAL; Sofia Araújo — Nutrição/UFSC,Extensão,Nutrição,Presencial
20251176,Intervenção cognitivo-comportamental em depressão: ensaio retrospectiva,Isabela Vieira — Psicologia/UFRJ; Isabela Carvalho — Psicologia/UFBA; Renata Moura — Medicina/UFC; Felipe Martins — Psicologia/UFC; Beatriz Melo — Psicologia/USP,Trabalho científico,Psicologia,Presencial
20251064,Educação nutricional sobre obesidade no contexto escolar: intervenção,Helena Duarte — Nutrição/UFPA; Tatiane Melo — Nutrição/UFPE; Camila Barbosa — Nutrição/UFBA,Mestrado/Doutorado,Nutrição,EAD
20251084,Farmacovigilância de polifarmácia: análise de notificações,Diego Cardoso — Farmácia/UFRN; Wagner Rodrigues — Enfermagem/UFAL; Vitor Cardoso — Farmácia/UFMG; Daniela Farias — Farmácia/UFBA; Larissa Moura — Odontologia/UFMG,Extensão,Farmácia,Presencial
20251149,Padronização de protocolo para expressão gênica no laboratório de análises clínicas,Fernanda Farias — Biomedicina/UNIFESP; Priscila Ribeiro — Biomedicina/UFAL; Bianca Souza — Biomedicina/UFPE; Bruno Freitas — Biomedicina/USP,Mestrado/Doutorado,Biomedicina,Presencial
20251101,Treinamento funcional e dor lombar em idosos: estudo longitudinal,Carlos Vieira — Fisioterapia/UFRJ; Wagner Souza — Enfermagem/UFRN; Carlos Teixeira — Fisioterapia/UFBA,Mestrado/Doutorado,Fisioterapia,Presencial
20251156,Protocolo de dor aguda no pronto atendimento: relato de experiência,Matheus Pinheiro — Medicina/UFBA; Gustavo Gomes — Medicina/UFPA; Vitor Ribeiro — Farmácia/USP; Bruno Melo — Medicina/UFAM,TCC,Medicina,Presencial
20251073,Percepções sobre estresse ocupacional em adolescentes: estudo qualitativo,Priscila Nunes — Psicologia/UFRGS; Helena Oliveira — Fisioterapia/USP; Rafael Rodrigues — Psicologia/UNIFESP,Iniciação científica,Psicologia,Presencial
20251028,Farmacovigilância de antibióticos: análise de notificações,Carlos Freitas — Farmácia/UFRGS; Daniela Ribeiro — Farmácia/UFPE; Paula Moura — Farmácia/UFSC; Rafael Melo — Farmácia/UFAM; Yasmin Dias — Farmácia/UFPR,Iniciação científica,Farmácia,Presencial
20251185,Consumo de consumo de fibras e indicadores antropométricos: análise randomizado,Daniela Nunes — Fisioterapia/UFSC; Júlia Borges — Nutrição/UFPA; Mariana Monteiro — Nutrição/UNICAMP; Yasmin Almeida — Medicina/UFAM,Iniciação científica,Nutrição,Presencial
20251113,Farmacovigilância de polifarmácia: análise de notificações,Sofia Rodrigues — Farmácia/UFRJ; Matheus Cardoso — Farmácia/UFRGS; Daniela Dias — Farmácia/UNIFESP,Iniciação científica,Farmácia,Presencial
20251052,Expressão de marcadores de expressão gênica em cultura celular: ensaio randomizado,André Rodrigues — Biomedicina/UFSC; Yasmin Silva — Biomedicina/UFRGS; Helena Monteiro — Farmácia/UFPA; Rafael Moura — Fisioterapia/UFAL; Wagner Nunes — Biomedicina/UNESP,Iniciação científica,Biomedicina,Presencial
20251175,Atenção farmacêutica a pacientes com farmacoeconomia: estudo de coorte,Renata Moura — Nutrição/UFSC; Júlia Oliveira — Farmácia/UNICAMP; João Santos — Farmácia/UFAM,Iniciação científica,Farmácia,Presencial
20251005,Correlação entre expressão gênica e biomarcadores inflamatórios: estudo retrospectiva,Paula Pinheiro — Biomedicina/UNICAMP; Rodrigo Castro — Biomedicina/UFRN; Rodrigo Duarte — Biomedicina/UNESP; Larissa Ribeiro — Odontologia/UFPR,Trabalho científico,Biomedicina,EAD
20251030,Segurança do paciente e feridas crônicas: revisão randomizado,Eduardo Souza — Fisioterapia/UFBA; Paula Pereira — Medicina/UFRGS; Tatiane Duarte — Enfermagem/UFRN,TCC,Enfermagem,Presencial
20251184,Percepções sobre estresse ocupacional em adolescentes: estudo qualitativo,Wagner Borges — Psicologia/UFC; Wagner Teixeira — Psicologia/UFAM; Mariana Carvalho — Psicologia/UNICAMP,Iniciação científica,Psicologia,Presencial
